,symbol,date,close,volume,change,percentChange
4150,IEFA,2019-08-14,57.439999,10899800.0,-0.46,-0.794
4151,IEFA,2019-08-13,59.0,18766000.0,0.68,1.166
4152,IEFA,2019-08-12,58.470001,5757400.0,-0.26,-0.443
4153,IEFA,2019-08-09,58.970001,8259700.0,-0.19,-0.321
4154,IEFA,2019-08-08,59.41,6799600.0,0.41,0.695
4155,IEFA,2019-08-07,58.830002,8801900.0,0.5,0.857
4156,IEFA,2019-08-06,58.580002,10575700.0,-0.04,-0.068
4157,IEFA,2019-08-05,58.200001,10987100.0,-0.56,-0.953
4158,IEFA,2019-08-02,59.669998,8857900.0,-0.28,-0.467
4159,IEFA,2019-08-01,60.130001,8623300.0,-0.24,-0.398
4160,IEFA,2019-07-31,60.369999,11417100.0,-0.36,-0.593
4161,IEFA,2019-07-30,60.700001,5994200.0,-0.06,-0.099
4162,IEFA,2019-07-29,61.41,4185900.0,-0.05,-0.081
4163,IEFA,2019-07-26,61.34,10999600.0,-0.06,-0.098
4164,IEFA,2019-07-25,61.209999,6743200.0,-0.48,-0.778
4165,IEFA,2019-07-24,61.84,6729700.0,0.21,0.341
4166,IEFA,2019-07-23,61.790001,4077800.0,0.03,0.049
4167,IEFA,2019-07-22,61.400002,4981000.0,-0.07,-0.114
4168,IEFA,2019-07-19,61.349998,5078300.0,-0.13,-0.211
4169,IEFA,2019-07-18,61.48,6350600.0,0.38,0.622
4170,IEFA,2019-07-17,61.310001,6965600.0,-0.27,-0.438
4171,IEFA,2019-07-16,61.389999,7236200.0,-0.13,-0.211
4172,IEFA,2019-07-15,61.650002,3358600.0,-0.01,-0.016
4173,IEFA,2019-07-12,61.57,4603500.0,0.09,0.146
4174,IEFA,2019-07-11,61.52,4525700.0,-0.15,-0.243
4175,IEFA,2019-07-10,61.48,4707800.0,-0.1,-0.162
4176,IEFA,2019-07-09,61.259998,3720100.0,0.18,0.295
4177,IEFA,2019-07-08,61.619999,6293500.0,0.04,0.065
4178,IEFA,2019-07-05,61.919998,3734100.0,0.02,0.032
4179,IEFA,2019-07-03,62.419998,3453600.0,0.12,0.193
4180,IEFA,2019-07-02,61.98,4484800.0,0.03,0.048
4181,IEFA,2019-07-01,61.790001,7991600.0,-0.3,-0.483
4182,IEFA,2019-06-28,61.400002,7687100.0,0.04,0.065
4183,IEFA,2019-06-27,61.110001,5543800.0,-0.04,-0.065
4184,IEFA,2019-06-26,60.93,6113200.0,-0.15,-0.246
4185,IEFA,2019-06-25,60.950001,10674000.0,-0.38,-0.62
4186,IEFA,2019-06-24,61.23,4990300.0,-0.09,-0.147
4187,IEFA,2019-06-21,61.18,7202200.0,0.02,0.033
4188,IEFA,2019-06-20,61.380001,6538900.0,-0.16,-0.26
4189,IEFA,2019-06-19,60.84,6062900.0,0.27,0.446
4190,IEFA,2019-06-18,60.439999,6439200.0,0.32,0.532
4191,IEFA,2019-06-17,59.689999,6922900.0,0.01,0.017
4192,IEFA,2019-06-14,60.889999,6929700.0,-0.06,-0.098
4193,IEFA,2019-06-13,61.349998,31157300.0,-0.07,-0.114
4194,IEFA,2019-06-12,61.32,3078700.0,-0.19,-0.309
4195,IEFA,2019-06-11,61.77,4143500.0,-0.25,-0.403
4196,IEFA,2019-06-10,61.5,3723900.0,0.08,0.13
4197,IEFA,2019-06-07,61.310001,4679800.0,0.23,0.377
4198,IEFA,2019-06-06,60.549999,7267000.0,0.04,0.066
4199,IEFA,2019-06-05,60.360001,7104200.0,-0.31,-0.511
4200,IEFA,2019-06-04,60.349998,5224000.0,0.29,0.483
4201,IEFA,2019-06-03,59.610001,9094300.0,0.06,0.101
